;accuracy_score;recall_score;f1_score;precision_score;Confusion Matrix
ls_tfid_knn;0.9473684210526315;0.8390804597701149;0.9012345679012346;0.9733333333333334;"[[215, 2], [14, 73]]"
ls_tfid_knn_svd;0.8421052631578947;0.9770114942528736;0.779816513761468;0.648854961832061;"[[171,  46], [2, 85]]"
ls_tfid_rbf;0.9078947368421053;0.7816091954022989;0.8292682926829268;0.8831168831168831;"[[208, 9], [19, 68]]"
ls_tfid_rbf_svd;0.6578947368421053;1.0;0.6258992805755396;0.45549738219895286;"[[113, 104], [0, 87]]"
ls_cv_knn;0.7993421052631579;0.39080459770114945;0.5271317829457365;0.8095238095238095;"[[209, 8], [53,  34]]"
ls_cv_knn_svd;0.8388157894736842;0.8390804597701149;0.7487179487179486;0.6759259259259259;"[[182,  35], [14, 73]]"
ls_cv_rbf;0.7269736842105263;0.39080459770114945;0.4503311258278146;0.53125;"[[187, 30], [53, 34]]"
ls_cv_rbf_svd;0.8519736842105263;0.8505747126436781;0.7668393782383419;0.6981132075471698;"[[185, 32], [13, 74]]"
