;accuracy_score;recall_score;f1_score;precision_score;Confusion Matrix
lp_tfid_knn;0.944078947368421;0.8275862068965517;0.8944099378881988;0.972972972972973;"[[215, 2], [15, 72]]"
lp_tfid_knn_svd;0.756578947368421;0.9770114942528736;0.6967213114754098;0.5414012738853503;"[[145, 72], [2, 85]]"
lp_tfid_rbf;0.868421052631579;0.5517241379310345;0.7058823529411765;0.9795918367346939;"[[216, 1], [39, 48]]"
lp_tfid_rbf_svd;0.5657894736842105;1.0;0.5686274509803921;0.3972602739726027;"[[85, 132], [0, 87]]"
lp_cv_knn;0.7993421052631579;0.39080459770114945;0.5271317829457365;0.8095238095238095;"[[209, 8], [53, 34]]"
lp_cv_knn_svd;0.8125;0.8620689655172413;0.7246376811594203;0.625;"[[172, 45], [ 12, 75]]"
lp_cv_rbf;0.7236842105263158;0.39080459770114945;0.4473684210526316;0.5230769230769231;"[[186, 31], [53,  34]]"
lp_cv_rbf_svd;0.8453947368421053;0.8505747126436781;0.7589743589743589;0.6851851851851852;"[[183, 34], [13, 74]]"
